Probe id	Gene name	Entrez gene id	Chromosome	Start	End	Cytoband	RefSeq(mRNA)	RefSeq(protein)	BR:MCF7	BR:MDA-MB-231	BR:HS 578T	BR:BT-549	BR:T-47D	CNS:SF-268	CNS:SF-295	CNS:SF-539	CNS:SNB-19	CNS:SNB-75	CNS:U251	CO:COLO 205	CO:HCC-2998	CO:HCT-116	CO:HCT-15	CO:HT29	CO:KM12	CO:SW-620	LE:CCRF-CEM	LE:HL-60(TB)	LE:K-562	LE:MOLT-4	LE:RPMI-8226	LE:SR	ME:LOX IMVI	ME:MALME-3M	ME:M14	ME:SK-MEL-2	ME:SK-MEL-28	ME:SK-MEL-5	ME:UACC-257	ME:UACC-62	ME:MDA-MB-435	ME:MDA-N	LC:A549/ATCC	LC:EKVX	LC:HOP-62	LC:HOP-92	LC:NCI-H226	LC:NCI-H23	LC:NCI-H322M	LC:NCI-H460	LC:NCI-H522	OV:IGROV1	OV:OVCAR-3	OV:OVCAR-4	OV:OVCAR-5	OV:OVCAR-8	OV:SK-OV-3	OV:NCI/ADR-RES	PR:PC-3	PR:DU-145	RE:786-0	RE:A498	RE:ACHN	RE:CAKI-1	RE:RXF 393	RE:SN12C	RE:TK-10	RE:UO-31
CPTP	CPTP	80772	1	1260142	1264276	1p36.33	NM_001029885.1	NP_001025056.1	-	-	-	-	-	-	-	-	-	-	-	-	-	58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DVL1	DVL1	1855	1	1270657	1284492	1p36	NM_004421.2	NP_004412.2	-	-	-	-	-	-	-	-	-	-	-	-	-	40	41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MXRA8	MXRA8	54587	1	1288068	1298921	1p36.33	NM_032348.2	NP_115724.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AURKAIP1	AURKAIP1	54998	1	1309109	1310818	1p36.33	NM_001127229.1	NP_001120702.1	-	-	-	-	-	-	-	-	-	-	-	-	54	-	58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CCNL2	CCNL2	81669	1	1321090	1334718	1p36.33	NM_001039577.3	NP_112199.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100	-	-	-	-	-	-	-	-
MRPL20	MRPL20	55052	1	1337275	1342693	1p36.3-p36.2	NM_017971.3	NP_060441.2	-	-	-	-	-	-	-	-	-	-	-	-	49	-	-	-	-	-	-	-	30	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MIB2	MIB2	142678	1	1550794	1565990	1p36.33	NM_001170686.1	NP_001164160.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NADK	NADK	65220	1	1682670	1711508	1p36.33	NM_001198993.1	NP_075394.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60	-	-	-	-	-	-	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GNB1	GNB1	2782	1	1716723	1822556	1p36.33	NM_002074.3	NP_002065.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CALML6	CALML6	163688	1	1846265	1848733	1p36.33	NM_138705.2	NP_619650.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRKCZ	PRKCZ	5590	1	1981908	2116834	1p36.33-p36.2	NM_001033582.1	NP_001028753.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MORN1	MORN1	79906	1	2252691	2323190	1p36.33-p36.32	NM_024848.1	NP_079124.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RER1	RER1	11079	1	2323213	2336885	1p36	NM_007033.4	NP_008964.3	-	-	28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PANK4	PANK4	55229	1	2439969	2458067	1p36.32	NM_018216.1	NP_060686.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	64	-	-	-	-	-	-	-	-	-	-	33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HES5	HES5	388585	1	2460183	2461684	1p36.32	NM_001010926.3	NP_001010926.1	100	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MMEL1	MMEL1	79258	1	2522080	2564481	1p36	NM_033467.3	NP_258428.2	-	-	-	-	-	-	-	-	-	-	-	-	50	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ACTRT2	ACTRT2	140625	1	2938045	2939467	1p36.32	NM_080431.4	NP_536356.3	-	-	34	-	-	-	-	-	-	-	27	-	-	-	-	-	51	-	-	-	-	45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRDM16	PRDM16	63976	1	2985741	3355185	1p36.23-p33	NM_022114.3	NP_071397.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	70	-	-	-	-	-	-	-	-	57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	-	-	-	-	-	-	-	-
ARHGEF16	ARHGEF16	27237	1	3371146	3397677	1p36.3	NM_014448.3	NP_055263.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MEGF6	MEGF6	1953	1	3404505	3528059	1p36.3	NM_001409.3	NP_001400.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	71	-	-	-	76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TP73	TP73	7161	1	3569128	3652765	1p36.3	NM_001204188.1	NP_001119714.1	-	-	-	-	-	-	-	-	-	-	-	-	-	49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CCDC27	CCDC27	148870	1	3668964	3688209	1p36.32	NM_152492.2	NP_689705.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51	-	-	-	-	-	100	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CEP104	CEP104	9731	1	3728644	3773797	1p36.32	NM_014704.3	NP_055519.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KCNAB2	KCNAB2	8514	1	6052357	6161253	1p36.3	NM_001199861.1	NP_742128.1	-	-	-	-	-	-	-	-	-	-	-	-	-	61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CHD5	CHD5	26038	1	6161846	6240194	1p36.31	NM_015557.2	NP_056372.1	-	47	-	-	-	-	-	-	-	-	-	-	-	60	69	-	-	-	-	-	16	41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RNF207	RNF207	388591	1	6266188	6281359	1p36.31	NM_207396.2	NP_997279.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GPR153	GPR153	387509	1	6307405	6321035	1p36.31	NM_207370.2	NP_997253.2	-	-	-	-	-	-	-	40	-	-	-	-	57	37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ACOT7	ACOT7	11332	1	6324331	6453826	1p36	NM_007274.3	NP_863654.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TNFRSF25	TNFRSF25	8718	1	6521213	6526255	1p36.2	NM_148970.1	NP_001034753.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PLEKHG5	PLEKHG5	57449	1	6526151	6580121	1p36.31	NM_001042665.1	NP_001252522.1	-	-	-	-	-	-	-	-	-	-	-	-	-	73	69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NOL9	NOL9	79707	1	6581406	6614658	1p36.31	NM_024654.4	NP_078930.3	-	-	-	-	-	-	-	-	-	-	-	-	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TAS1R1	TAS1R1	80835	1	6615337	6639817	1p36.23	NM_138697.3	NP_619642.2	-	-	-	-	-	-	-	-	-	41	-	25	-	-	41	-	41	-	-	-	-	58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZBTB48	ZBTB48	3104	1	6640050	6649340	1p36.3	NM_005341.3	NP_005332.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DNAJC11	DNAJC11	55735	1	6694227	6761966	1p36.31	NM_018198.3	NP_060668.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CAMTA1	CAMTA1	23261	1	6845383	7829766	1p36.31-p36.23	NM_001242701.1	NP_001229630.1	-	-	-	-	-	-	-	-	-	-	-	-	-	57	33	69	-	-	-	-	-	-	-	-	-	-	44	-	-	-	-	-	77	78	-	-	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PER3	PER3	8863	1	7844488	7905240	1p36.23	NM_016831.1	NP_058515.1	-	-	-	-	27	-	-	-	-	-	-	-	46	-	-	-	-	-	-	-	-	42	-	-	-	-	-	-	-	-	-	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UTS2	UTS2	10911	1	7907671	7913551	1p36	NM_021995.2	NP_006777.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SLC45A1	SLC45A1	50651	1	8378144	8404227	1p36.23	NM_001080397.1	NP_001073866.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RERE	RERE	473	1	8412463	8877699	1p36.23	NM_012102.3	NP_036234.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	-	-	-	-	-	49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENO1	ENO1	2023	1	8921058	8939151	1p36.2	NM_001201483.1	NP_001188412.1	-	-	-	-	-	-	-	-	-	-	-	-	47	-	-	-	-	-	-	-	-	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SLC2A5	SLC2A5	6518	1	9097004	9129887	1p36.2	NM_003039.2	NP_001129057.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100	-	-	-	-	-	-	-	-
GPR157	GPR157	80045	1	9164475	9189229	1p36.23	NM_024980.4	NP_079256.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
H6PD	H6PD	9563	1	9294862	9331394	1p36	NM_004285.3	NP_004276.2	-	-	-	-	-	-	-	50	-	-	-	-	-	25	56	-	-	-	-	-	-	72	-	-	-	-	-	28	100	-	-	-	-	-	-	-	-	-	-	-	-	-	100	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100	-
SPSB1	SPSB1	80176	1	9352940	9429590	1p36.22	NM_025106.3	NP_079382.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SLC25A33	SLC25A33	84275	1	9599527	9642831	1p36.22	NM_032315.2	NP_115691.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TMEM201	TMEM201	199953	1	9648931	9674935	1p36.22	NM_001130924.2	NP_001124396.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PIK3CD	PIK3CD	5293	1	9711789	9789172	1p36.2	NM_005026.3	NP_005017.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42	-	-
LZIC	LZIC	84328	1	9982170	10003485	1p36.22	NM_032368.3	NP_115744.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UBE4B	UBE4B	10277	1	10093040	10241296	1p36.3	NM_006048.4	NP_001099032.1	-	-	-	-	-	-	-	-	-	-	-	-	83	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	-	-	-	-	-	-	-	-	-	-	-	60	-	-	-	-
KIF1B	KIF1B	23095	1	10270763	10441661	1p36.2	NM_183416.3	NP_904325.2	-	-	-	-	-	-	-	-	-	-	-	-	42	35	-	-	-	-	-	-	-	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PGD	PGD	5226	1	10459048	10480568	1p36.22	NM_002631.2	NP_002622.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43	-
PEX14	PEX14	5195	1	10535002	10690815	1p36.22	NM_004565.2	NP_004556.1	100	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CASZ1	CASZ1	54897	1	10696665	10856733	1p36.22	NM_017766.4	NP_001073312.1	-	-	-	-	-	28	-	-	-	-	-	-	-	-	71	-	-	-	45	-	-	29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
C1orf127	C1orf127	148345	1	11006529	11042094	1p36.22	NM_001170754.1	NP_001164225.1	-	-	-	-	-	-	-	-	-	-	-	-	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	98	-	-	-	-	-	-	-	-	-	-	-	-	-
MASP2	MASP2	10747	1	11086579	11107296	1p36.3-p36.2	NM_139208.2	NP_006601.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRM	SRM	6723	1	11114648	11120091	1p36-p22	NM_003132.2	NP_003123.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EXOSC10	EXOSC10	5394	1	11126669	11159967	1p36.22	NM_002685.2	NP_001001998.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MTOR	MTOR	2475	1	11166587	11322608	1p36.2	NM_004958.3	NP_004949.1	-	-	-	-	-	-	-	-	-	-	-	26	93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UBIAD1	UBIAD1	29914	1	11333254	11348491	1p36.22	NM_013319.2	NP_037451.1	-	-	-	-	-	-	-	-	-	-	-	-	-	26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PTCHD2	PTCHD2	57540	1	11539294	11597640	1p36.22	NM_020780.1	NP_065831.1	-	-	-	-	-	-	-	-	-	-	-	54	86	35	62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FBXO44	FBXO44	93611	1	11714431	11723384	1p36.22	NM_183413.2	NP_904319.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40
MAD2L2	MAD2L2	10459	1	11734536	11751678	1p36	NM_006341.3	NP_001120797.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DRAXIN	DRAXIN	374946	1	11751780	11780336	1p36.22	NM_198545.3	NP_940947.3	64	-	-	-	-	-	-	-	-	-	-	-	-	-	71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MTHFR	MTHFR	4524	1	11845786	11866160	1p36.3	NM_005957.4	NP_005948.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CLCN6	CLCN6	1185	1	11866152	11903201	1p36	NM_001256959.1	NP_001243888.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	-	-	-	-	-	-	-	-	-	-	-	-	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PLOD1	PLOD1	5351	1	11994723	12035599	1p36.22	NM_000302.3	NP_000293.2	-	-	-	-	-	-	-	-	-	-	-	-	50	-	-	-	-	-	-	-	-	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
