Probe id	Gene name	Entrez gene id	Chromosome	Start	End	Cytoband	RefSeq(mRNA)	RefSeq(protein)	BR:MCF7	BR:MDA-MB-231	BR:HS 578T	BR:BT-549	BR:T-47D	CNS:SF-268	CNS:SF-295	CNS:SF-539	CNS:SNB-19	CNS:SNB-75	CNS:U251	CO:COLO 205	CO:HCC-2998	CO:HCT-116	CO:HCT-15	CO:HT29	CO:KM12	CO:SW-620	LE:CCRF-CEM	LE:HL-60(TB)	LE:K-562	LE:MOLT-4	LE:RPMI-8226	LE:SR	ME:LOX IMVI	ME:MALME-3M	ME:M14	ME:SK-MEL-2	ME:SK-MEL-28	ME:SK-MEL-5	ME:UACC-257	ME:UACC-62	ME:MDA-MB-435	ME:MDA-N	LC:A549/ATCC	LC:EKVX	LC:HOP-62	LC:HOP-92	LC:NCI-H226	LC:NCI-H23	LC:NCI-H322M	LC:NCI-H460	LC:NCI-H522	OV:IGROV1	OV:OVCAR-3	OV:OVCAR-4	OV:OVCAR-5	OV:OVCAR-8	OV:SK-OV-3	OV:NCI/ADR-RES	PR:PC-3	PR:DU-145	RE:786-0	RE:A498	RE:ACHN	RE:CAKI-1	RE:RXF 393	RE:SN12C	RE:TK-10	RE:UO-31
MSH6	MSH6	2956	2	48010220	48034092	2p16	NM_000179.2	NP_000170.1	0.292	1.088	0.444	0.158	0.202	0.864	-0.003	0.378	0.751	-0.13	0.527	1.098	1.214	0.465	0.556	0.67	0.205	0.234	1.389	1.615	1.361	1.695	1.854	1.679	-0.379	0.571	0.257	0.107	0.724	-0.306	1.153	0.448	0.248	0.898	1.393	0.949	1.613	0.984	1.176	1.841	1.306	1.354	1.859	0.467	1.08	-0.151	1.057	1.021	0.761	1.018	-0.158	0.534	1.285	0.34	0.689	0.407	0.025	1.625	0.211	1.273
ANXA4	ANXA4	307	2	69969126	70053596	2p13	NM_001153.3	NP_001144.1	0.592	0.898	1.148	0.416	0.826	1.619	1.572	1.1	0.368	-0.041	-0.098	-0.479	0.059	0.42	0.152	0.126	1.071	0.287	-2.481	-2.75	-3.142	-3.233	-3.03	0.498	0.572	2.032	2.514	0.004	0.802	-0.372	0.366	0.982	1.725	1.062	-2.087	-1.578	-1.298	-1.671	-1.305	-0.368	0.18	-0.647	0.909	1.397	-1.334	-0.151	-1.784	-1.579	-0.659	0.958	0.559	0.853	0.56	1.455	1.364	0.095	1.208	-1.186	0.424	0.606
ACVR2	ACVR2A	92	2	148602085	148688396	2q22.3	NM_001616.4	NP_001607.1	-1.673	-2.2	-0.581	-1.563	0.005	-1.95	-0.355	-1.525	-1	0.173	-1.388	-1.486	-1.23	-0.443	-0.129	-0.196	-0.74	-0.234	-0.785	0.453	0.417	-1.323	-0.588	-0.728	0.034	0.122	0.005	-0.022	0.093	-2.218	-0.786	-0.061	-0.113	0.215	-0.249	1.366	0.226	-0.357	-1.305	0.387	0.862	0.379	0.948	-1.596	1.923	-0.151	-0.109	-0.043	-0.659	0.769	-0.338	-0.31	-1.682	-1.677	-0.225	-0.532	-0.531	-1.186	-2.092	-0.158
STAT1_20	STAT1	6772	2	191833761	191878976	2q32.2	NM_139266.2	NP_009330.1	-1.673	-2.2	-0.581	-0.551	-2.07	-0.925	-1.533	0.636	-1	-0.249	-1.388	-1.695	-1.23	-2.269	-2.35	0.304	-2.879	-1.977	-2.481	-2.75	-3.142	-3.233	-0.617	-0.357	-1.993	-1.201	-0.139	-1.637	1.121	-2.218	-1.429	-1.83	-2.701	-1.208	-0.951	-1.578	-1.298	-1.671	-1.305	-0.677	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	-1.784	-1.579	-0.659	-1.786	-2.095	-1.688	0.301	-1.677	2.338	1.477	2.452	-1.186	1.115	0.298
STAT1_22	STAT1	6772	2	191833761	191878976	2q32.2	NM_007315.3	NP_009330.1	0.464	-0.962	-0.581	-1.563	0.808	-0.855	0.046	0.766	0.111	0.13	-1.388	-0.421	0.529	-0.905	-0.225	0.29	-0.958	-0.099	0.303	-0.252	0.083	-0.6	0.283	-0.664	-0.612	0.037	0.349	0.207	0.687	-0.345	0.017	-0.615	-0.284	-0.168	0.139	1.655	0.238	0.208	-0.133	-0.44	1.627	1.019	-0.28	-1.596	-0.173	-0.151	0.177	-1.579	0.799	-1.786	-0.623	-1.688	-0.271	-1.677	0.884	-0.115	1.453	-1.186	-0.203	-0.025
STAT1_9	STAT1	6772	2	191833761	191878976	2q32.2	NM_139266.2	NP_009330.1	-1.673	-0.359	-0.581	-1.563	-2.07	0.639	-0.205	0.711	0.704	-0.007	0.401	0.884	1.331	0.418	0.996	1.177	-0.118	-0.243	1.618	2.031	1.596	1.593	1.89	1.941	-0.863	0.391	-0.24	-0.019	0.567	-0.902	0.027	-0.076	-0.396	0.011	1.593	1.404	2.06	1.302	1.497	1.523	1.721	1.941	1.872	-0.13	-0.104	-0.151	-0.26	0.078	-0.659	-0.443	-0.935	-1.688	0.881	-0.245	1.384	0.007	0.533	-1.186	0.264	0.703
HSPD1	HSPD1	3329	2	198351307	198364998	2q33.1	NM_199440.1	NP_955472.1	3.97	-2.2	-0.581	-1.563	2.551	-1.95	-1.533	-1.525	-1	-1.774	-1.388	-0.009	0.359	-0.221	-0.008	0.592	0.373	0.683	-1.042	-1.641	-1.367	-1.859	-1.236	-2.758	-1.993	-2.209	-1.094	-1.637	-0.969	-2.218	-1.187	-1.688	-2.701	-1.206	-0.85	0.847	-1.298	-0.201	3.519	-0.795	2.305	0.913	-1.328	-1.596	-0.249	1.251	-0.346	-1.579	-0.659	-1.786	-2.095	-1.688	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-0.701	-0.32
FN1	FN1	2335	2	216225162	216300793	2q34	NM_054034.2	NP_997643.1	-1.673	-2.2	5.493	-1.563	-2.07	-1.95	-1.533	0.582	-1	1.33	-1.388	-3.571	-1.23	-2.269	-2.35	-1.992	-2.879	-1.977	-2.481	-2.75	-3.142	-3.233	-1.104	-2.758	-1.993	-2.209	-2.683	-1.637	-2.203	-2.218	-2.711	-2.893	-2.701	-2.789	-2.087	-1.578	-1.298	-1.671	-1.305	-2.292	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	-1.784	-1.579	-0.659	1.12	-2.095	-1.688	-1.682	-1.677	-0.679	-2.008	-1.597	-1.186	-0.145	-1.662
VIL1	VIL1	7429	2	219283837	219314248	2q35	NM_007127.2	NP_009058.2	-1.673	-2.2	-0.581	-1.563	-2.07	-1.95	-1.533	-1.525	-1	-1.774	-1.388	2.759	2.613	-2.269	-0.185	-0.918	-1.34	1.723	-2.481	-2.75	-3.142	-3.233	-3.03	-2.758	-1.993	-2.209	-2.683	-1.637	-2.203	-2.218	-2.711	-2.893	-2.701	-2.789	-2.087	-1.578	-1.298	-1.671	-1.305	-2.292	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	-1.784	-1.579	-0.659	-1.786	-2.095	-1.688	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-2.092	-1.662
IRS1	IRS1	3667	2	227596032	227663506	2q36	NM_005544.2	NP_005535.1	2.649	-2.2	-0.581	-1.563	-2.07	0.229	-1.533	-1.525	-1	-1.774	-1.388	-3.571	-1.23	-2.269	-2.35	-0.279	-2.879	-0.637	-2.481	-2.75	-3.142	-3.233	-2	-2.758	-1.993	-2.209	-2.683	-1.637	-2.203	-2.218	-2.711	-2.893	-2.701	-2.789	-2.087	-1.578	-1.298	-0.662	-1.305	-2.292	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	-1.784	-1.579	-0.659	-1.786	-0.645	-1.688	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-2.092	-1.662
MLH1	MLH1	4292	3	37034840	37092337	3p21.3	NM_001258273.1	NP_001245200.1	3.023	0.989	1.169	1.656	2.986	0.826	1.25	1.519	1.108	0.712	1.432	0.311	0.705	-2.269	1.404	1.348	-2.879	2.349	-2.481	1.317	2.226	1.066	1.891	1.895	2.508	1.635	2.648	1.24	1.029	2.184	1.766	1.527	1.535	1.334	1.704	1.698	1.212	1.134	-1.305	1.609	1.136	2.376	2.593	-1.596	1.461	-0.151	1.725	1.648	-0.659	0.934	1.465	-1.688	1.985	1.829	2.042	1.084	1.31	1.142	1.657	2.145
CTNNB1	CTNNB1	1499	3	41240941	41281939	3p21	NM_001904.3	NP_001091679.1	2.121	-2.2	2.3	2.751	2.301	1.58	1.251	1.051	1.559	1.28	1.572	2.733	2.274	1.328	2.467	1.81	2.139	3.35	-2.481	-2.75	-3.142	-3.233	-3.03	-2.758	-0.276	1.278	1.691	-1.637	0.001	-0.108	0.765	-0.879	0.752	0.83	0.468	2.249	1.057	-1.671	2.18	-0.953	2.873	0.87	-1.328	-1.596	1.863	3.105	-1.784	0.936	1.27	0.782	1.522	1.189	1.165	1.612	1.213	1.053	2.237	-0.118	1.055	1.863
GSK3B	GSK3B	2932	3	119540801	119813264	3q13.3	NM_001146156.1	NP_001139628.1	-0.15	0.501	1.291	1.344	1.003	1.129	1.087	1.803	1.366	0.593	0.96	1.133	1.207	0.478	1.627	1.365	0.026	0.329	0.942	0.088	0.588	1.919	1.165	1.381	1.535	1.345	2.775	1.29	1.466	0.928	1.943	1.775	2.094	2.455	0.765	0.759	1.365	0.765	0.385	0.746	0.693	0.725	1.462	0.736	1.684	-0.151	0.197	1.808	0.87	0.878	0.797	-0.319	1.107	0.32	0.095	0.11	-1.597	-1.186	0.39	1.478
PRKCI	PRKCI	5584	3	169940219	170023770	3q26.3	NM_002740.5	NP_002731.4	-1.673	3.252	1.572	1.592	3.75	1.325	1.963	2.029	0.832	1.241	1.382	1.187	1.737	0.576	1.815	2.225	2.018	1.955	1.095	1.242	2.306	1.384	1.825	1.325	2.727	1.217	2.491	1.917	1.976	1.401	1.609	1.806	2.409	1.602	1.364	1.903	1.379	2.609	2.651	2.055	1.501	1.308	3.196	3.537	3.899	3.834	3.555	3.662	2.963	1.992	-2.095	-1.688	3.443	3.461	5.202	-2.008	-1.597	-1.186	-2.092	-1.662
AP2M1	AP2M1	1173	3	183892633	183901879	3q28	NM_004068.3	NP_001020376.1	1.123	1.993	2.22	0.559	0.766	0.763	2.628	1.478	2.111	1.571	0.305	0.528	1.123	0.711	1.016	0.604	-0.31	0.346	1.095	1.373	1.576	0.618	0.252	0.941	0.595	0.585	2.132	2.064	2.328	1.891	1.081	1.372	1.205	0.991	0.433	1.522	1.768	2.734	2.012	1.721	1.139	2.002	2.371	1.816	0.91	2.307	2.695	2.196	2.123	1.608	0.534	0.236	1.709	2.813	1.66	1.804	2.111	1.441	1.492	1.477
CCNA2	CCNA2	890	4	122737598	122745088	4q27	NM_001237.3	NP_001228.1	0.157	0.592	0.477	1.729	-0.024	-0.217	-0.346	-0.018	-1	-1.774	-1.388	-0.84	-0.112	0.18	0.277	-0.026	1.356	-0.099	1.487	1.202	0.968	0.834	-0.09	0.235	-1.993	-2.209	-0.592	-0.084	-0.813	-0.88	-0.947	-1.391	0.794	0.871	-0.633	0.56	0.244	-0.42	-1.305	0.42	-0.846	-0.647	-0.176	-1.596	0.232	1.418	0.152	1.074	1.066	0.248	0.149	0.677	1.341	-0.231	-0.116	0.027	-0.065	0.919	0.134	0.256
CCNB1	CCNB1	891	5	68462836	68474070	5q12	NM_031966.3	NP_114172.1	0.275	1.307	0.863	2.203	-0.096	-1.95	0.787	-0.04	-1	-1.774	0.328	-0.137	0.098	0.783	-0.217	-0.472	0.295	0.762	1.17	0.663	1.67	0.256	1.757	0.931	-0.633	-2.209	0.944	-1.637	0.18	0.16	-0.014	-0.015	1.259	1.304	0.472	1.436	0.327	0.556	1.072	1.331	-0.846	0.603	1.676	-0.45	1.402	2.387	1.742	2.386	1.787	0.907	0.62	0.991	1.696	0.514	1.077	1.922	1.866	0.759	1.522	1.191
CDK7	CDK7	1022	5	68530621	68573257	5q12.1	NM_001799.3	NP_001790.1	1.075	0.746	-0.581	0.808	0.597	0.516	0.445	0.495	-1	0.083	0.318	0.443	0.76	0.731	0.593	0.674	0.714	1.574	1.443	2.028	1.63	1.292	1.036	1.752	1.001	0.189	1.264	1.763	1.237	1.296	0.768	0.061	0.568	0.834	1.171	0.522	0.554	0.606	0.778	0.974	0.576	1.461	1.619	0.747	1.427	0.957	1.217	0.735	1.052	0.175	0.275	0.504	-0.063	1.278	1.18	0.553	0.402	1.161	0.716	0.77
MCC	MCC	4163	5	112357795	112824527	5q21	NM_001085377.1	NP_001078846.1	1.747	-0.467	1.141	-1.563	-2.07	-0.64	-0.446	0.561	1.861	0.917	0.912	-1.26	-1.23	0.55	-0.787	-1.992	-1.805	0.471	-2.481	-2.75	-3.142	-1.802	-0.477	-0.716	0.284	1.2	3.272	2.222	2.074	1.432	1.076	1.006	-2.701	1.087	-2.087	1.139	-1.298	0.179	-1.305	-2.292	0.702	1.45	-1.328	-0.127	0.367	-0.151	2.074	1.395	0.713	-0.162	-0.803	0.043	1.301	1.461	-0.076	-2.008	0.552	-1.186	-0.263	1.367
HSPA4	HSPA4	3308	5	132387661	132440709	5q31.1	NM_002154.3	NP_002145.3	4.509	1.89	2.407	2.78	2.804	1.574	1.427	2.471	0.843	1.328	1.668	1.687	3.206	2.834	2.557	2.353	1.2	1.216	1.239	1.508	3.782	1.101	2.777	2.601	2.545	2.545	2.41	2.699	2.444	2.192	2.162	1.371	1.542	2.093	2.839	3.071	2.431	2.916	2.703	2.812	2.823	3.702	3.82	0.829	3.031	1.931	2.955	3.773	2.097	2.806	2.761	1.939	2.726	3.257	1.281	2.394	2.402	2.037	2.281	0.995
RIPK1	RIPK1	8737	6	3064121	3115421	6p25.2	NM_003804.3	NP_003795.2	1.82	1.58	1.265	1.278	1.125	0.264	0.888	0.923	0.073	0.634	0.388	0.436	1.108	0.548	0.513	0.377	-0.317	0.788	0.602	0.122	0.667	-0.643	0.168	0.547	1.077	1.481	1.008	1.587	2.147	1.02	1.356	0.463	1.365	1.175	-0.487	0.052	0.044	0.031	-0.183	0.137	0.251	-0.647	1.255	0.419	0.507	-0.151	1.282	1.954	2.113	0.783	1.209	1.848	1.742	0.545	0.989	0.956	1.973	1.169	0.822	1.45
TUBB	TUBB2A	7280	6	3153900	3157783	6p25	NM_001069.2	NP_001060.1	3.254	2.499	2.373	2.853	2.689	2.045	2.801	2.624	2.075	2.173	2.141	1.699	1.232	1.835	1.876	1.326	1.247	2.055	3.259	2.18	2.551	3.109	2.429	2.593	2.793	2.007	4.114	2.895	2.823	2.358	2.459	2.497	2.131	2.052	1.906	2.281	1.859	2.136	1.301	2.386	0.907	1.339	3.329	2.34	2.324	-0.151	3.373	2.927	2.043	2.168	2.694	3.196	3.246	2.936	3.533	2.714	3.244	2.131	3.284	3.065
ESR1	ESR1	2099	6	152011630	152424408	6q25.1	NM_001122741.1	NP_001116212.1	3.034	-0.05	0.837	6.475	-2.07	-1.95	-1.533	-1.525	-1	-1.774	-1.388	-2.172	-1.23	-2.269	-2.35	-1.992	-2.879	-1.977	-2.481	-2.75	-3.142	-3.233	-3.03	-2.758	-1.993	-0.034	-2.683	-1.637	-2.203	-2.218	-2.711	-2.893	-0.191	-0.56	-2.087	-1.578	-1.298	-1.671	-1.305	-2.292	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	-1.784	-1.579	-0.659	-1.786	-2.095	-1.688	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-2.092	-1.662
VIL2	EZR	7430	6	159186772	159240456	6q25.3	NM_001111077.1	NP_003370.2	-1.673	-2.2	-0.581	-1.563	-0.738	-0.109	-1.533	-1.525	-1	-1.774	-1.388	-1.738	-1.23	1.552	-1.057	-1.992	-1.002	-0.496	-2.481	-2.75	-3.142	-1.526	-1.247	-2.758	-1.993	-2.209	-2.683	-1.637	-2.203	-2.218	-2.711	-2.893	-2.701	-2.789	-2.087	-1.578	-1.298	-1.671	0.836	-2.292	-0.846	-0.647	-1.328	-0.198	1.107	-0.151	0.396	-0.096	-0.659	0.14	-2.095	-1.688	-1.682	-1.677	-0.307	-2.008	-1.597	-1.186	-2.092	0.683
YWHAG	YWHAG	7532	7	75956107	75988342	7q11.23	NM_012479.3	NP_036611.2	0.07	-0.687	-0.581	0.404	-0.073	-0.643	-0.478	-1.525	-1	-0.514	-1.388	-0.12	-1.23	-0.565	-0.618	-0.156	0.184	-0.125	0.053	-2.75	-1.691	-0.336	-1.322	-1.718	-0.121	0.385	-0.302	-1.637	-2.203	-2.218	-0.758	-2.893	-1.089	-0.04	-2.087	-1.578	-1.298	-0.39	-1.305	0.517	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	-1.784	-1.579	-0.659	-1.786	-0.799	-0.482	-0.649	-1.677	-2.001	-2.008	-0.405	-1.186	-2.092	0.151
CDK6	CDK6	1021	7	92234234	92465941	7q21-q22	NM_001259.6	NP_001250.1	-1.673	-2.2	-0.581	-1.563	-2.07	-1.95	-1.533	-1.525	-1	-1.774	-1.388	-2.357	-1.23	-2.269	-2.35	-1.992	-2.879	0.585	1.083	-2.75	-0.435	1.047	-0.74	-2.758	-1.993	-2.209	-2.683	-1.637	-2.203	-2.218	-2.711	-1.415	-2.701	-2.789	-2.087	-0.248	-1.298	-1.671	-1.305	-2.292	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	-0.716	-1.579	-0.659	-1.786	-0.943	-1.688	-1.682	-1.677	-2.001	-2.008	-0.495	-1.186	-2.092	-1.662
MCM7_22	MCM7	4176	7	99690350	99699563	7q21.3-q22.1	NM_182776.2	NP_877577.1	1.163	-0.367	-0.581	-1.563	0.403	-0.002	-1.533	-0.429	-1	-1.774	-1.388	-0.418	-1.23	-0.443	-0.411	-0.211	-0.74	0.277	1.18	0.641	0.157	0.681	0.777	-0.061	-1.993	-2.209	-0.115	-1.637	-0.557	-1.055	-0.905	-1.103	-0.595	0.027	-0.285	0.878	-0.077	-0.523	-1.305	0.216	0.743	0.898	0.528	-0.241	-1.334	-0.151	0.189	-0.541	-0.659	-0.176	-1.083	-0.159	-0.525	-0.554	-0.484	-2.008	-1.597	0.208	-0.472	-0.623
MCM7_4	MCM7	4176	7	99690350	99699563	7q21.3-q22.1	NM_005916.4	NP_877577.1	2.383	0.676	0.688	0.841	2.403	1.902	1.058	1.539	0.61	1.014	0.82	1.466	0.535	1.701	2.191	2.963	2.352	3.216	2.736	2.734	1.998	2.174	2.074	1.064	1.081	-0.08	1.983	0.897	1.487	0.472	-0.206	0.95	2.698	2.374	0.888	0.895	1.056	-0.294	0.275	1.642	-0.846	1.315	2.406	1.09	1.101	-0.151	1.404	1.355	-0.659	1.698	1.217	-1.688	0.912	0.635	1.114	0.7	1.627	2.83	2.383	-1.662
SEC8	EXOC4	60412	7	132937822	133750513	7q31	NM_001037126.1	NP_068579.3	1.795	1.543	1.011	1.395	1.648	1.454	1.378	0.901	0.401	0.474	0.524	1.801	1.355	0.574	1.015	1.203	0.645	0.801	2.107	2.237	1.457	2.004	1.607	1.384	1.052	1.459	1.945	1.353	1.191	0.938	0.66	0.316	1.155	1.354	1.24	1.991	1.376	1.905	1.022	1.886	-0.846	1.357	1.893	0.587	1.38	1.273	1.724	1.496	1.167	1.026	1.561	0.942	1.382	1.461	1.552	0.923	1.249	1.35	0.459	1.453
CASP2_26	CASP2	835	7	142985307	143004789	7q34-q35	NM_001224.4	NP_116765.2	1.239	-2.2	-0.581	-1.563	-0.811	0.15	-0.361	-1.525	-1	-1.774	-1.388	-0.558	-1.23	-0.945	0.143	0.208	-1.296	1.513	2.824	2.131	-3.142	3.08	1.05	1.526	-1.993	0.01	-2.683	0.809	-2.203	-2.218	0.475	0.021	0.455	0.171	0.416	0.169	-1.298	0.374	-1.305	0.257	-0.846	0.547	-1.328	0.58	-1.334	-0.151	-1.784	0.776	-0.659	-0.287	0.397	-1.688	0.177	0.614	0.555	-2.008	-1.597	-1.186	-2.092	-0.449
CASP2_6	CASP2	835	7	142985307	143004789	7q34-q35	NM_032982.3	NP_116765.2	0.971	-0.713	-0.581	-0.212	0.189	0	0.705	-1.525	-1	-1.774	-1.388	0.662	-0.085	-0.093	0.018	0.335	-0.969	1.475	2.746	1.718	0.466	2.111	0.09	1.013	-1.993	-2.209	1.07	0.491	0.363	-0.424	0.198	-0.543	0.699	0.982	0.158	1.374	1.477	1.427	1.489	1.234	1.662	2.019	1.19	0.115	-1.334	-0.151	0.549	1.157	0.459	0.597	1.2	1.031	0.339	0.437	0.558	0.637	0.436	-1.186	-0.989	0.936
