HUGO_symbol	transcript	gene_coordinate	assigned_peak
TRMT1L	NM_030934.4	chr1:185087216-185126116:-	chr1:185124320-185127616
ASXL2	NM_018263.4	chr2:25962252-26101312:-	chr2:26099139-26101426
ZNF668	NM_024706.4	chr16:31072163-31085641:-	chr16:31083095-31086928
ZNF646	NM_014699.3	chr16:31085742-31094833:+	chr16:31083095-31086928
BOLA2B	NM_001039182.2	chr16:30204250-30205627:-	chr16:30203282-30206881
SLX1A	NM_001015000.2	chr16:30205163-30208887:+	chr16:30203282-30206881
SLX1A-SULT1A3	NR_037608.1	chr16:30205753-30215650:+	chr16:30203282-30206881
ASH1L	NM_018489.2	chr1:155305051-155532324:-	chr1:155529988-155535435
ASH1L-AS1	NR_027023.1	chr1:155531771-155533735:+	chr1:155529988-155535435
PDRG1	NM_030815.2	chr20:30532757-30539883:-	chr20:30538290-30539954
POP4	NR_027368.1	chr19:30097169-30108162:+	chr19:30096017-30098257
PPIL1	NM_016059.4	chr6:36822604-36842800:-	chr6:36841287-36843531
C6orf89	NM_001286636.1	chr6:36839645-36896740:+	chr6:36841287-36843531
RECQL5	NM_004259.6	chr17:73622924-73663269:-	chr17:73662046-73664822
SAP30BP	NM_001301839.1	chr17:73663195-73704142:+	chr17:73662046-73664822
PUS10	NM_001322124.1	chr2:61167547-61244347:-	chr2:61242517-61246345
PEX13	NM_002618.3	chr2:61244811-61279125:+	chr2:61242517-61246345
HSPA4	NM_002154.3	chr5:132387661-132440709:+	chr5:132386096-132390014
GPBP1L1	NM_021639.4	chr1:46092975-46152302:-	chr1:46149918-46155333
TMEM69	NM_016486.3	chr1:46153846-46160108:+	chr1:46149918-46155333
C8orf37-AS1	NR_038204.1	chr8:96281063-96822371:+	chr8:96280309-96283338
C8orf37	NM_177965.3	chr8:96257140-96281462:-	chr8:96280309-96283338
SBDS	NM_016038.2	chr7:66452689-66460588:-	chr7:66458792-66463154
TYW1	NR_134540.1	chr7:66461791-66704501:+	chr7:66458792-66463154
ARMC8	NM_014154.4	chr3:137906089-137965729:+	chr3:137905150-137907941
NUP205	NM_015135.2	chr7:135242661-135333501:+	chr7:135241978-135244053
TTC32	NM_001008237.2	chr2:20096391-20101747:-	chr2:20099542-20102846
PEX1	NM_001282678.1	chr7:92116336-92157845:-	chr7:92156315-92159217
RBM48	NM_032120.3	chr7:92158086-92169795:+	chr7:92156315-92159217
PCIF1	NM_022104.3	chr20:44563316-44576662:+	chr20:44561853-44564974
YIPF3	NM_015388.3	chr6:43479564-43484728:-	chr6:43483366-43486791
POLR1C	NM_203290.3	chr6:43484761-43489264:+	chr6:43483366-43486791
LOC283922	NR_026950.1	chr16:74366303-74402153:-	chr16:74400513-74403252
PPCDC	NR_125369.1	chr15:75315895-75343067:+	chr15:75315831-75317062
SNW1	NM_001318844.1	chr14:78183941-78227497:-	chr14:78226012-78228345
C14orf178	NM_001173978.1	chr14:78227172-78236085:+	chr14:78226012-78228345
ZNF425	NM_001001661.2	chr7:148799875-148823438:-	chr7:148821758-148825478
ZNF398	NM_020781.3	chr7:148823507-148880134:+	chr7:148821758-148825478
STYXL1	NM_001317785.1	chr7:75625654-75677321:-	chr7:75675771-75679111
MDH2	NR_104165.1	chr7:75677336-75678365:+	chr7:75675771-75679111
APPBP2	NM_006380.3	chr17:58520509-58603601:-	chr17:58600705-58604761
BOLA2-SMG1P6	NM_001320628.1	chr16:29454225-29465526:-	chr16:29463885-29467551
BOLA2	NR_135304.1	chr16:29464908-29465526:-	chr16:29463885-29467551
SLX1B	NM_178044.2	chr16:29465821-29469545:+	chr16:29463885-29467551
SLX1B-SULT1A4	NR_037609.1	chr16:29466411-29476301:+	chr16:29463885-29467551
HS2ST1	NM_001134492.1	chr1:87380334-87564125:+	chr1:87380259-87382517
SELENOF	NM_004261.4	chr1:87328127-87380048:-	chr1:87380259-87382517
PSMA2	NM_002787.4	chr7:42956459-42971805:-	chr7:42969745-42973692
MRPL32	NM_031903.2	chr7:42971938-42977456:+	chr7:42969745-42973692
EMSY	NM_020193.4	chr11:76156068-76263943:+	chr11:76153953-76157819
HSPA9	NM_004134.6	chr5:137890570-137911318:-	chr5:137909001-137912038
RPL13A	NM_001270491.1	chr19:49990810-49995565:+	chr19:49990724-49994383
SNORD32A	NR_000021.1	chr19:49993222-49993304:+	chr19:49990724-49994383
SNORD33	NR_000020.1	chr19:49993873-49993956:+	chr19:49990724-49994383
SNORD34	NR_000019.1	chr19:49994163-49994229:+	chr19:49990724-49994383
SNORD35A	NR_000018.1	chr19:49994431-49994517:+	chr19:49990724-49994383
ZNF2	NM_001291604.1	chr2:95831161-95850065:+	chr2:95830179-95832650
TTC30B	NM_152517.2	chr2:178414879-178417524:-	chr2:178416709-178418666
GPR107	NM_001287346.1	chr9:132815984-132892303:+	chr9:132814886-132817521
DNAJC7	NM_001144766.2	chr17:40128438-40169183:-	chr17:40167742-40170802
NKIRAS2	NM_001001349.2	chr17:40169593-40177659:+	chr17:40167742-40170802
NBPF1	NM_017940.4	chr1:16888921-16940100:-	chr1:16937699-16940961
SDHAP1	NR_003264.2	chr3:195686791-195717150:-	chr3:195715325-195717958
LOC102723582	NR_125405.1	chr3:122135052-122162094:+	chr3:122133748-122136515
WDR5B	NM_019069.3	chr3:122130699-122134882:-	chr3:122133748-122136515
ITPA	NM_001324238.1	chr20:3189513-3204516:+	chr20:3188962-3191540
UQCRC2	NM_003366.3	chr16:21964384-21994981:+	chr16:21962906-21966293
TYW1B	NM_001145440.2	chr7:72039491-72298813:-	chr7:72297553-72301988
SBDSP1	NR_024109.1	chr7:72299951-72304586:+	chr7:72297553-72301988
MTF1	NM_005955.2	chr1:38275238-38325292:-	chr1:38324005-38326406
ARPC3	NM_001278556.1	chr12:110872694-110888216:-	chr12:110886649-110888668
GLOD4	NM_016080.3	chr17:662548-685571:-	chr17:684126-686937
MRM3	NM_001317947.1	chr17:685568-695749:+	chr17:684126-686937
THOC1	NM_005131.2	chr18:214519-268059:-	chr18:266990-269611
NIFK	NM_032390.4	chr2:122484520-122494503:-	chr2:122492634-122494645
YAE1D1	NM_020192.4	chr7:39605974-39612480:+	chr7:39604929-39607336
RPL41	NM_021104.1	chr12:56510373-56511616:+	chr12:56509064-56513323
ZC3H10	NM_032786.2	chr12:56512003-56516281:+	chr12:56509064-56513323
CSNK1A1	NM_001271742.1	chr5:148875456-148929894:-	chr5:148927327-148932550
NDUFB1	NM_004545.3	chr14:92582466-92588153:-	chr14:92586576-92589777
CPSF2	NM_001322271.1	chr14:92588297-92630543:+	chr14:92586576-92589777
DDX56	NM_019082.3	chr7:44605015-44614137:-	chr7:44612061-44614635
PPP2R1A	NR_033500.1	chr19:52693054-52729678:+	chr19:52693095-52695227
ETF1	NM_001291974.1	chr5:137841781-137877400:-	chr5:137876438-137881506
POLR2J4	NR_003655.3	chr7:43980493-44058793:-	chr7:44057178-44059390
SCAND1	NM_033630.2	chr20:34541538-34542548:-	chr20:34540097-34543746
C11orf58	NM_014267.5	chr11:16760147-16779901:+	chr11:16759127-16762150
MED20	NM_001305456.1	chr6:41873090-41888681:-	chr6:41887121-41891132
BYSL	NM_004053.3	chr6:41888964-41900784:+	chr6:41887121-41891132
NDUFA2	NR_033697.1	chr5:140024947-140027370:-	chr5:140025874-140028546
IK	NM_006083.3	chr5:140027383-140042065:+	chr5:140025874-140028546
MIR3655	NR_037428.1	chr5:140027428-140027511:+	chr5:140025874-140028546
TRUB2	NM_001329862.1	chr9:131071378-131084497:-	chr9:131083615-131086695
COQ4	NM_001305942.1	chr9:131084786-131096351:+	chr9:131083615-131086695
DPM1	NM_001317034.1	chr20:49551391-49575101:-	chr20:49572686-49576881
MOCS3	NM_014484.4	chr20:49575350-49578400:+	chr20:49572686-49576881
SUPT5H	NM_001319991.1	chr19:39936185-39967310:+	chr19:39934662-39937775
PPIG	NM_004792.2	chr2:170440849-170494254:+	chr2:170440346-170443185
TIMM17A	NM_006335.2	chr1:201924618-201939789:+	chr1:201923487-201926297
PEF1	NR_033688.1	chr1:32095462-32110218:-	chr1:32109166-32111671
PRPF38B	NM_018061.2	chr1:109234931-109244425:+	chr1:109233521-109237788
WASHC5	NM_014846.3	chr8:126036501-126104061:-	chr8:126102348-126105364
NSMCE2	NM_173685.2	chr8:126104082-126379367:+	chr8:126102348-126105364
KIAA1429	NM_015496.4	chr8:95500004-95565746:-	chr8:95563873-95567237
AKAP8L	NM_014371.3	chr19:15490858-15529932:-	chr19:15528044-15529946
N4BP2L2	NM_001320836.1	chr13:33006624-33112932:-	chr13:33111414-33114059
SNX11	NM_001330320.1	chr17:46184894-46200963:+	chr17:46184124-46186694
RBM22	NM_018047.2	chr5:150070351-150080669:-	chr5:150078870-150081529
ENSA	NM_207042.1	chr1:150594598-150602098:-	chr1:150600306-150603677
TM9SF4	NM_014742.3	chr20:30697308-30755061:+	chr20:30696924-30699600
SZRD1	NR_073500.1	chr1:16693524-16724643:+	chr1:16693601-16695883
POU2F1	NM_001198786.1	chr1:167190065-167396582:+	chr1:167188262-167189945
CLK1	NM_001162407.1	chr2:201717731-201729284:-	chr2:201725285-201730018
KLHL7-AS1	NR_046220.1	chr7:23140846-23145322:-	chr7:23144416-23147831
KLHL7	NM_001031710.2	chr7:23145352-23215040:+	chr7:23144416-23147831
MALAT1	NR_144568.1	chr11:65265208-65273987:+	chr11:65265137-65276663
TALAM1	NR_145459.1	chr11:65266782-65274903:-	chr11:65265137-65276663
MASCRNA	NR_144569.1	chr11:65273587-65273645:+	chr11:65265137-65276663
IFNAR1	NM_000629.2	chr21:34697213-34732129:+	chr21:34696205-34698720
GOLGB1	NM_001256487.1	chr3:121382045-121468614:-	chr3:121466833-121469815
RPL7L1	NR_134563.1	chr6:42847353-42857634:+	chr6:42846552-42849633
TARS2	NR_073513.1	chr1:150459839-150480085:+	chr1:150459346-150461046
CLPTM1	NM_001282176.1	chr19:45457841-45496604:+	chr19:45457105-45460172
SLC25A46	NM_001303250.2	chr5:110073836-110100874:+	chr5:110073618-110075983
SEC61G	NM_014302.3	chr7:54819939-54826939:-	chr7:54824831-54828179
LOC100996654	NR_110040.1	chr7:54827005-54872662:+	chr7:54824831-54828179
USF1	NM_001276373.1	chr1:161009040-161014727:-	chr1:161013927-161016689
AIDA	NM_022831.2	chr1:222841354-222885864:-	chr1:222883482-222887923
BROX	NR_109927.1	chr1:222885894-222887247:+	chr1:222883482-222887923
EDC3	NM_001142443.1	chr15:74922898-74988386:-	chr15:74987196-74989331
CCZ1B	NM_198097.3	chr7:6838565-6865926:-	chr7:6864421-6866756
ZNF133	NM_001283005.1	chr20:18268926-18297640:+	chr20:18267939-18270453
TUBD1	NM_001193612.1	chr17:57936839-57970306:-	chr17:57969012-57972208
RPS6KB1	NM_001272042.1	chr17:57970406-58027787:+	chr17:57969012-57972208
NUDCD3	NM_015332.3	chr7:44421964-44530385:-	chr7:44528639-44531183
TRAPPC3	NM_001270896.1	chr1:36602169-36615115:-	chr1:36613749-36615250
CBWD3	NM_001291821.1	chr9:70856860-70914951:+	chr9:70856328-70858922
SERP1	NM_014445.3	chr3:150259779-150264428:-	chr3:150262037-150266268
EIF2A	NM_001319043.1	chr3:150264464-150303803:+	chr3:150262037-150266268
RLF	NM_012421.3	chr1:40627040-40706593:+	chr1:40626352-40629266
GTF2F1	NM_002096.2	chr19:6379579-6393291:-	chr19:6392075-6394393
MIR6885	NR_106945.1	chr19:6389648-6389714:-	chr19:6392075-6394393
MIR6790	NR_106848.1	chr19:6392931-6392994:-	chr19:6392075-6394393
LOC390877	NM_001321601.1	chr19:6396369-6412415:+	chr19:6392075-6394393
FAM114A2	NM_001317994.1	chr5:153369690-153418498:-	chr5:153417156-153419731
MFAP3	NM_001135037.1	chr5:153418518-153437014:+	chr5:153417156-153419731
LOC101927415	NR_110049.2	chr12:124065612-124068874:-	chr12:124066937-124070761
TMED2	NM_006815.3	chr12:124069075-124082688:+	chr12:124066937-124070761
ASB16-AS1	NR_049729.1	chr17:42253340-42264085:-	chr17:42262350-42265746
TMUB2	NM_001330235.1	chr17:42264318-42269297:+	chr17:42262350-42265746
RPRD1B	NM_021215.3	chr20:36661947-36720766:+	chr20:36660307-36664073
TTI1	NM_014657.2	chr20:36611408-36661870:-	chr20:36660307-36664073
CETN3	NM_001297765.1	chr5:89689151-89705603:-	chr5:89704264-89706943
LOC731157	NR_105024.1	chr5:89705816-89706486:+	chr5:89704264-89706943
AP1G1	NM_001030007.1	chr16:71762902-71842976:-	chr16:71840825-71843944
CCT2	NM_006431.2	chr12:69979207-69995357:+	chr12:69978631-69980765
MIR3913-1	NR_037475.1	chr12:69978501-69978603:-	chr12:69978631-69980765
MIR3913-2	NR_037476.1	chr12:69978502-69978602:+	chr12:69978631-69980765
FAM72B	NM_001100910.1	chr1:120839004-120855681:+	chr1:120838800-120841056
LLPH	NM_032338.3	chr12:66516848-66524533:-	chr12:66522845-66525761
LLPH-AS1	NR_125724.1	chr12:66524530-66528229:+	chr12:66522845-66525761
SUPT7L	NM_001282729.1	chr2:27873675-27886707:-	chr2:27885298-27888381
SLC4A1AP	NM_018158.2	chr2:27886337-27917847:+	chr2:27885298-27888381
CSE1L	NR_045796.1	chr20:47662782-47713497:+	chr20:47661955-47665143
CSE1L-AS1	NR_110624.1	chr20:47656999-47662593:-	chr20:47661955-47665143
PPP4R3B	NM_001122964.2	chr2:55774427-55844860:-	chr2:55842292-55847758
CHTOP	NM_001244664.1	chr1:153606457-153618782:+	chr1:153605773-153608847
S100A13	NM_001024210.1	chr1:153591274-153606568:-	chr1:153605773-153608847
LUC7L2	NM_016019.4	chr7:139044591-139108203:+	chr7:139042652-139047080
MRPS14	NR_037606.1	chr1:174982093-174992591:-	chr1:174991411-174993338
MRE11	NM_005590.3	chr11:94150465-94227040:-	chr11:94225748-94228281
ANKRD49	NM_017704.2	chr11:94227152-94232744:+	chr11:94225748-94228281
LOC389831	NM_001347682.1	chr7_gl000195_random:42937-86735:-	chr7_gl000195_random:83703-87470
TSSC4	NM_001297661.1	chr11:2421717-2425108:+	chr11:2421861-2423410
BRD8	NM_139199.1	chr5:137475458-137514358:-	chr5:137512957-137516536
KIF20A	NM_005733.2	chr5:137514416-137523404:+	chr5:137512957-137516536
AAR2	NM_001271874.1	chr20:34824338-34844863:+	chr20:34823513-34825639
VPS41	NM_014396.3	chr7:38763542-38948800:-	chr7:38947673-38949076
RPP14	NR_049758.1	chr3:58291971-58305920:+	chr3:58291587-58293887
ARHGAP11B	NM_001039841.1	chr15:30918878-30931013:+	chr15:30916134-30921149
LOC102724691	NR_110603.1	chr2:105552698-105654954:-	chr2:105653628-105655713
MRPS9	NM_182640.2	chr2:105654482-105716418:+	chr2:105653628-105655713
DDX28	NM_018380.3	chr16:68055176-68057770:-	chr16:68055725-68058375
DUS2	NM_001271762.1	chr16:68056846-68113226:+	chr16:68055725-68058375
NDUFA11	NM_001193375.1	chr19:5891286-5904024:-	chr19:5902339-5904734
VMAC	NM_001017921.3	chr19:5904851-5910263:+	chr19:5902339-5904734
DHX8	NM_001322217.1	chr17:41561232-41601689:+	chr17:41561203-41563081
UBR2	NM_015255.2	chr6:42531759-42661243:+	chr6:42531177-42534393
SNRPA1	NM_003090.3	chr15:101821714-101835487:-	chr15:101833033-101836824
TIMM23	NR_073029.1	chr10:51592079-51623386:-	chr10:51621124-51625428
SMN1	NM_022874.2	chr5:70220767-70248839:+	chr5:70220042-70222723
NOL11	NM_001303272.1	chr17:65713948-65740324:+	chr17:65712851-65715972
SNORA72	NR_002581.1	chr8:99054313-99054445:-	chr8:99054800-99059634
RPL30	NM_000989.3	chr8:99053937-99057818:-	chr8:99054800-99059634
FBXL12	NM_001316938.1	chr19:9920942-9929779:-	chr19:9928261-9930085
DNAJA3	NM_001286516.1	chr16:4475805-4506776:+	chr16:4474560-4477596
CFAP36	NM_080667.6	chr2:55746730-55772216:+	chr2:55745667-55748357
MED7	NM_001100816.1	chr5:156565450-156569786:-	chr5:156568537-156571118
SNORD54	NR_002437.1	chr8:56986397-56986460:-	chr8:56985183-56987776
RPS20	NM_001146227.1	chr8:56980738-56987140:-	chr8:56985183-56987776
DYNLRB1	NM_001319157.1	chr20:33104188-33123391:+	chr20:33102467-33105779
MRPS17	NM_015969.2	chr7:56019610-56023034:+	chr7:56018827-56020894
VIPAS39	NM_001193314.1	chr14:77893017-77923983:-	chr14:77922714-77926508
AHSA1	NM_001321441.1	chr14:77924219-77935815:+	chr14:77922714-77926508
DHX40	NM_001166301.1	chr17:57642885-57685713:+	chr17:57642449-57644169
FAM60A	NM_001135811.1	chr12:31433517-31479121:-	chr12:31475278-31480065
FLJ13224	NR_026806.1	chr12:31477249-31478879:+	chr12:31475278-31480065
ERP44	NM_015051.2	chr9:102741460-102861334:-	chr9:102859810-102862812
INVS	NR_134606.1	chr9:102861466-103064457:+	chr9:102859810-102862812
LAMTOR5	NM_006402.2	chr1:110943874-110950546:-	chr1:110948750-110951377
LAMTOR5-AS1	NR_102697.1	chr1:110950430-110958896:+	chr1:110948750-110951377
ALKBH4	NM_017621.3	chr7:102096666-102105321:-	chr7:102104138-102106674
LRWD1	NM_152892.2	chr7:102105329-102113615:+	chr7:102104138-102106674
MIR5090	NR_049813.1	chr7:102106188-102106273:+	chr7:102104138-102106674
ZBTB26	NM_001304364.1	chr9:125680307-125693544:-	chr9:125692516-125695651
RNF121	NM_001300926.1	chr11:71639767-71708643:+	chr11:71638249-71641745
LOC100133315	NR_029192.1	chr11:71576554-71639493:-	chr11:71638249-71641745
GART	NM_000819.4	chr21:34876237-34914464:-	chr21:34912330-34918299
SON	NM_001291411.1	chr21:34915343-34931362:+	chr21:34912330-34918299
MIR4522	NR_039748.1	chr17:25620935-25621022:-	chr17:25620529-25623951
WSB1	NM_134265.2	chr17:25621105-25640645:+	chr17:25620529-25623951
PPP1R21	NM_001193475.1	chr2:48667907-48742531:+	chr2:48666987-48669276
PRPF3	NM_004698.2	chr1:150293927-150325704:+	chr1:150292914-150295393
METTL6	NM_001301792.1	chr3:15451266-15469054:-	chr3:15467933-15470811
EAF1	NM_033083.6	chr3:15469063-15484120:+	chr3:15467933-15470811
HEPACAM2	NM_001346642.1	chr7:92817851-92861511:-	chr7:92860412-92862648
VPS50	NM_017667.3	chr7:92861652-92990435:+	chr7:92860412-92862648
RIDA	NM_005836.2	chr8:99114566-99129418:-	chr8:99128152-99131342
POP1	NM_001145861.1	chr8:99129520-99172069:+	chr8:99128152-99131342
RPRD2	NM_001297673.1	chr1:150336586-150449042:+	chr1:150335024-150340003
BMS1P4	NR_026592.2	chr10:75458908-75490272:-	chr10:75488590-75491251
GLUD1P3	NR_048575.2	chr10:75490319-75491529:+	chr10:75488590-75491251
MIR6724-1	NR_106782.1	chrUn_gl000220:104731-104823:+	chrUn_gl000220:103151-104798
RNA45S5	NR_046235.1	chrUn_gl000220:105423-118780:+	chrUn_gl000220:103151-104798
MANBAL	NM_001003897.1	chr20:35918050-35945663:+	chr20:35917101-35919501
SNRPD2	NM_177542.3	chr19:46190711-46195250:-	chr19:46193727-46197335
QPCTL	NM_001163377.1	chr19:46195740-46207248:+	chr19:46193727-46197335
UMAD1	NM_001302349.1	chr7:7680266-7918854:+	chr7:7678905-7682385
MAN2B1	NM_000528.3	chr19:12757321-12777591:-	chr19:12779201-12781813
WDR83	NR_029375.1	chr19:12777617-12786646:+	chr19:12779201-12781813
WDR83OS	NM_016145.3	chr19:12778880-12780465:-	chr19:12779201-12781813
GARS	NM_001316772.1	chr7:30634350-30673649:+	chr7:30632908-30638397
ST7L	NM_001308264.1	chr1:113066139-113161761:-	chr1:113160069-113164949
CAPZA1	NM_006135.2	chr1:113162074-113214241:+	chr1:113160069-113164949
CCT6B	NM_006584.3	chr17:33254877-33288528:-	chr17:33287466-33290299
ZNF830	NM_052857.3	chr17:33288548-33290205:+	chr17:33287466-33290299
TADA3	NR_103488.1	chr3:9821647-9834695:-	chr3:9833116-9836309
ARPC4	NM_001024960.2	chr3:9834178-9848789:+	chr3:9833116-9836309
ARPC4-TTLL3	NM_001198793.1	chr3:9834231-9878040:+	chr3:9833116-9836309
RTFDC1	NM_001283037.1	chr20:55043640-55093942:+	chr20:55042891-55045235
MRPL11	NM_170739.3	chr11:66202545-66206319:-	chr11:66205263-66206597
FAU	NM_001997.4	chr11:64888098-64889672:-	chr11:64888151-64891155
MRPL49	NR_037567.1	chr11:64889654-64894841:+	chr11:64888151-64891155
PAF1	NM_019088.3	chr19:39876268-39881835:-	chr19:39880465-39883255
MED29	NR_133915.1	chr19:39881942-39891277:+	chr19:39880465-39883255
SMN2	NM_022877.2	chr5:69345349-69373422:+	chr5:69344547-69347414
NUP85	NM_001330472.1	chr17:73201530-73231854:+	chr17:73200335-73203761
DPP8	NR_135486.1	chr15:65734800-65809676:-	chr15:65808558-65810792
RSRP1	NR_135143.1	chr1:25568727-25574010:-	chr1:25571329-25574993
BBS9	NM_001348036.1	chr7:33168896-33645680:+	chr7:33168187-33170290
GOLGA4	NM_002078.4	chr3:37284681-37408370:+	chr3:37283706-37287046
NDUFS5	NM_001184979.1	chr1:39491966-39500308:+	chr1:39491174-39493462
VPS72	NM_001271087.1	chr1:151148775-151162689:-	chr1:151161122-151163423
WDR20	NM_001330228.1	chr14:102606155-102690010:+	chr14:102604649-102608111
HSP90AA1	NM_001017963.2	chr14:102547074-102606086:-	chr14:102604649-102608111
SMG7	NM_001174061.1	chr1:183441505-183523328:+	chr1:183438973-183443125
SMG7-AS1	NR_040063.1	chr1:183430008-183441117:-	chr1:183438973-183443125
ASB7	NM_198243.2	chr15:101142754-101191906:+	chr15:101140713-101144297
LINS1	NM_001040616.2	chr15:101109427-101142445:-	chr15:101140713-101144297
ZMPSTE24	NM_005857.4	chr1:40723721-40759856:+	chr1:40722211-40725608
EIF2B4	NM_001318965.1	chr2:27587218-27592919:-	chr2:27591803-27595165
SNX17	NM_001267061.1	chr2:27593362-27600400:+	chr2:27591803-27595165
COA1	NR_135580.1	chr7:43648054-43769140:-	chr7:43767589-43770206
VPS33A	NM_022916.4	chr12:122716093-122751068:-	chr12:122749866-122752349
CWC27	NM_001297645.1	chr5:64064744-64104389:+	chr5:64062930-64066076
SREK1IP1	NM_173829.3	chr5:64013974-64064496:-	chr5:64062930-64066076
MIR6724-3	NR_128716.1	chrUn_gl000220:148703-148795:+	chrUn_gl000220:147110-148753
NOL7	NM_001317724.1	chr6:13615558-13632702:+	chr6:13613981-13617219
RAB6A	NM_001243719.1	chr11:73386682-73471138:-	chr11:73469480-73472190
MKLN1-AS	NR_125364.1	chr7:130994502-131012538:-	chr7:131011381-131014972
MKLN1	NM_013255.4	chr7:131012594-131181398:+	chr7:131011381-131014972
ZSCAN25	NM_145115.2	chr7:99214570-99230030:+	chr7:99213691-99215855
C6orf52	NM_001145020.1	chr6:10671650-10694839:-	chr6:10693239-10697073
PAK1IP1	NM_017906.2	chr6:10695187-10709972:+	chr6:10693239-10697073
CCDC61	NM_001267723.1	chr19:46498718-46521874:+	chr19:46498606-46499701
SRBD1	NM_018079.4	chr2:45615818-45838433:-	chr2:45836911-45839085
YARS2	NM_001040436.2	chr12:32899477-32908887:-	chr12:32906584-32909639
STXBP3	NM_007269.3	chr1:109289256-109352148:+	chr1:109289108-109290610
KPNA2	NM_002266.3	chr17:66031717-66042975:+	chr17:66031704-66034503
SARNP	NR_026723.1	chr12:56146246-56211540:-	chr12:56209541-56213116
ORMDL2	NM_014182.4	chr12:56211805-56214959:+	chr12:56209541-56213116
SPRYD4	NM_207344.3	chr12:56862300-56864769:+	chr12:56861557-56863775
SNRNP200	NM_014014.4	chr2:96940073-96971307:-	chr2:96969935-96972531
OTUD6B-AS1	NR_110438.1	chr8:92072133-92082417:-	chr8:92080736-92084178
OTUD6B	NM_016023.3	chr8:92082423-92099323:+	chr8:92080736-92084178
GPATCH4	NM_182679.2	chr1:156564099-156571279:-	chr1:156569803-156572250
LSG1	NM_018385.2	chr3:194361516-194393206:-	chr3:194391440-194394118
ATR	NM_001184.3	chr3:142168076-142297668:-	chr3:142296039-142298710
ZNF565	NM_152477.4	chr19:36672961-36705575:-	chr19:36704580-36708308
