HUGO_symbol	transcript	gene_coordinate	assigned_peak
UQCC2	NM_032340.3	chr6:33664537-33679528:-	chr6:33678113-33680104
C6orf62	NM_030939.4	chr6:24705088-24719403:-	chr6:24717029-24723005
RPS27A	NM_001135592.2	chr2:55459038-55462989:+	chr2:55457913-55462055
CLHC1	NM_152385.2	chr2:55399682-55459449:-	chr2:55457913-55462055
C2orf49	NM_001286537.1	chr2:105953815-105965271:+	chr2:105952740-105955859
LOC105370888	NR_135678.1	chr15:72700119-72766580:-	chr15:72764724-72769088
ARIH1	NM_005744.3	chr15:72766666-72878896:+	chr15:72764724-72769088
BCLAF1	NM_014739.2	chr6:136578000-136610989:-	chr6:136608191-136613607
SHC1	NM_001130040.1	chr1:154934773-154943223:-	chr1:154939679-154951474
CKS1B	NM_001826.2	chr1:154947117-154951725:+	chr1:154939679-154951474
MIR4258	NR_036212.1	chr1:154948168-154948259:+	chr1:154939679-154951474
FAM173B	NR_047670.1	chr5:10225618-10250021:-	chr5:10248134-10253283
CCT5	NM_001306153.1	chr5:10250032-10266524:+	chr5:10248134-10253283
LSG1	NM_018385.2	chr3:194361516-194393206:-	chr3:194391516-194394094
STK35	NM_080836.3	chr20:2082527-2129201:+	chr20:2081564-2085286
HIST2H2BE	NM_003528.2	chr1:149856009-149858232:-	chr1:149854382-149861723
HIST2H2AC	NM_003517.2	chr1:149858524-149858961:+	chr1:149854382-149861723
HIST2H2AB	NM_175065.2	chr1:149859018-149859466:-	chr1:149854382-149861723
HNRNPA0	NM_006805.3	chr5:137087072-137090039:-	chr5:137087255-137091745
CDKL3	NM_001113575.1	chr5:133634114-133702765:-	chr5:133705254-133709011
UBE2B	NM_003337.3	chr5:133706866-133727799:+	chr5:133705254-133709011
PFDN4	NM_002623.3	chr20:52824501-52836492:+	chr20:52823886-52826645
WDR92	NR_046234.1	chr2:68361215-68384678:-	chr2:68383428-68386831
PNO1	NM_001329917.1	chr2:68384961-68393006:+	chr2:68383428-68386831
KAT7	NM_001199158.1	chr17:47865980-47906458:+	chr17:47864761-47867235
DCTN4	NM_001135644.1	chr5:150088308-150138082:-	chr5:150136733-150139759
WDR74	NM_001307977.1	chr11:62600376-62607131:-	chr11:62605289-62611475
TRA2A	NM_001282759.1	chr7:23544398-23571660:-	chr7:23568818-23572580
PSMC5	NM_002805.5	chr17:61904769-61909387:+	chr17:61903141-61906857
FTSJ3	NM_017647.3	chr17:61896792-61905031:-	chr17:61903141-61906857
RNVU1-18	NR_004400.1	chr1:149224057-149224221:-	chr1:149221857-149226366
RRAS	NM_006270.4	chr19:50138548-50143400:-	chr19:50140708-50147146
SCAF1	NM_021228.2	chr19:50145381-50161906:+	chr19:50140708-50147146
CDC5L	NM_001253.3	chr6:44355250-44418161:+	chr6:44354121-44356871
ZSCAN5A	NM_001322069.1	chr19:56732671-56825933:-	chr19:56824245-56827613
DNAJA3	NM_001286516.1	chr16:4475805-4506776:+	chr16:4473911-4477665
NDUFB1	NM_004545.3	chr14:92582466-92588153:-	chr14:92586579-92589916
CPSF2	NM_001322271.1	chr14:92588297-92630543:+	chr14:92586579-92589916
S100A2	NM_005978.3	chr1:153533583-153538306:-	chr1:153533693-153542230
AXDND1	NM_144696.5	chr1:179334854-179523870:+	chr1:179333916-179336084
ST7L	NM_001308264.1	chr1:113066139-113161761:-	chr1:113159831-113166063
CAPZA1	NM_006135.2	chr1:113162074-113214241:+	chr1:113159831-113166063
SDF2	NM_006923.3	chr17:26975373-26989190:-	chr17:26987482-26991297
SUPT6H	NM_003170.4	chr17:26989215-27029702:+	chr17:26987482-26991297
EIF1	NM_005801.3	chr17:39845126-39847898:+	chr17:39843333-39848644
SNRPC	NR_029472.1	chr6:34724870-34741634:+	chr6:34723535-34726454
MON1B	NM_001286640.1	chr16:77224815-77233543:+	chr16:77223833-77226236
ZBTB8OS	NM_001330475.1	chr1:33086420-33116191:-	chr1:33114027-33118992
RBBP4	NM_001135255.1	chr1:33116748-33151812:+	chr1:33114027-33118992
GTF3C6	NM_138408.3	chr6:111279762-111289091:+	chr6:111278795-111281433
ERCC6L2	NM_001010895.2	chr9:98637899-98731122:+	chr9:98636208-98640248
LINC00476	NR_023390.1	chr9:98568369-98638259:-	chr9:98636208-98640248
LOC100996437	NR_110037.1	chr7:66119505-66134589:+	chr7:66117871-66121789
CENPL	NM_001171182.1	chr1:173768687-173793270:-	chr1:173791859-173795566
DARS2	NM_018122.4	chr1:173793796-173827682:+	chr1:173791859-173795566
TM9SF4	NM_014742.3	chr20:30697308-30755061:+	chr20:30696813-30701588
RNU4-2	NR_003137.2	chr12:120729565-120729706:-	chr12:120726812-120732633
RNU4-1	NR_003925.1	chr12:120730896-120731040:-	chr12:120726812-120732633
C11orf58	NM_014267.5	chr11:16760147-16779901:+	chr11:16758931-16762171
MALAT1	NR_144568.1	chr11:65265208-65273987:+	chr11:65234985-65279293
MASCRNA	NR_144569.1	chr11:65273587-65273645:+	chr11:65234985-65279293
TALAM1	NR_145459.1	chr11:65266782-65274903:-	chr11:65234985-65279293
ZNF687	NM_001304764.1	chr1:151254030-151264381:+	chr1:151252295-151256955
LOC100507670	NR_135595.1	chr1:151252499-151254405:-	chr1:151252295-151256955
FAM53C	NM_001135647.1	chr5:137673223-137685418:+	chr5:137671911-137676125
CDC25C	NM_001318098.1	chr5:137620953-137674044:-	chr5:137671911-137676125
TMED1	NR_104015.1	chr19:10942742-10946416:-	chr19:10945458-10948453
MATR3	NM_018834.5	chr5:138629332-138667366:+	chr5:138628463-138632997
GPBP1L1	NM_021639.4	chr1:46092975-46152302:-	chr1:46149962-46155710
TMEM69	NM_016486.3	chr1:46153846-46160108:+	chr1:46149962-46155710
KIAA0391	NM_001256679.1	chr14:35591526-35743284:+	chr14:35589355-35595126
PPP2R3C	NM_017917.3	chr14:35554672-35591748:-	chr14:35589355-35595126
UBE2D3	NM_001300795.1	chr4:103715539-103747017:-	chr4:103743993-103751338
LOC105377348	NR_131186.1	chr4:103749211-103765263:+	chr4:103743993-103751338
IWS1	NM_017969.2	chr2:128238382-128284087:-	chr2:128281848-128286633
RPS14	NM_001025071.1	chr5:149823791-149829319:-	chr5:149826448-149830373
EIF2S2	NM_003908.4	chr20:32676103-32700162:-	chr20:32697181-32701456
SEPT2	NM_006155.2	chr2:242254601-242293442:+	chr2:242252798-242257814
HDLBP	NM_001320965.1	chr2:242166678-242254707:-	chr2:242252798-242257814
UBLCP1	NM_145049.4	chr5:158690074-158713048:+	chr5:158688770-158691353
RNU5E-1	NR_002754.2	chr1:11968210-11968329:+	chr1:11967157-11971807
GART	NM_000819.4	chr21:34876237-34914464:-	chr21:34911728-34918662
SON	NM_001291411.1	chr21:34915343-34931362:+	chr21:34911728-34918662
SYVN1	NM_172230.2	chr11:64894750-64902003:-	chr11:64900137-64904082
FUS	NM_001170634.1	chr16:31191430-31206192:+	chr16:31189999-31194220
UBAP2L	NM_001127320.2	chr1:154192647-154235981:+	chr1:154190393-154195596
C1orf43	NM_001098616.2	chr1:154179176-154193273:-	chr1:154190393-154195596
AFF4	NM_014423.3	chr5:132211070-132299354:-	chr5:132296661-132300709
ETF1	NM_001291974.1	chr5:137841781-137877400:-	chr5:137875485-137883829
RBM8A	NM_005105.4	chr1:145507556-145513536:+	chr1:145505339-145509055
AP1G1	NM_001030007.1	chr16:71762902-71842976:-	chr16:71840440-71844571
SNORD3A	NR_006880.1	chr17:19091328-19091545:+	chr17:19089439-19095730
SNORD3C	NR_006881.1	chr17:19093341-19093558:-	chr17:19089439-19095730
RHBDD3	NM_012265.2	chr22:29655840-29663984:-	chr22:29661370-29667274
EWSR1	NM_001163287.1	chr22:29663997-29686673:+	chr22:29661370-29667274
NDUFA4	NM_002489.3	chr7:10971579-10979813:-	chr7:10978077-10981719
DOHH	NM_031304.4	chr19:3490818-3500621:-	chr19:3499561-3501844
ACYP2	NM_138448.3	chr2:54342409-54532437:+	chr2:54341334-54344290
ARL1	NM_001177.5	chr12:101786897-101801598:-	chr12:101800186-101803294
SNRPB	NM_003091.3	chr20:2442280-2451499:-	chr20:2449175-2452777
DPM1	NM_001317034.1	chr20:49551391-49575101:-	chr20:49572115-49577054
MOCS3	NM_014484.4	chr20:49575350-49578400:+	chr20:49572115-49577054
ACAD9	NM_014049.4	chr3:128598332-128631957:+	chr3:128596574-128600463
PDAP1	NM_014891.6	chr7:98992295-99006305:-	chr7:99002482-99008529
BUD31	NM_003910.3	chr7:99006600-99017239:+	chr7:99002482-99008529
RPL7L1	NR_134563.1	chr6:42847353-42857634:+	chr6:42846391-42850709
RABL3	NM_173825.3	chr3:120405527-120461384:-	chr3:120460235-120463216
GTF2E1	NM_005513.2	chr3:120461557-120501916:+	chr3:120460235-120463216
PPP4R3A	NM_001284280.1	chr14:91923824-91976824:-	chr14:91974078-91978595
SCAND1	NM_033630.2	chr20:34541538-34542548:-	chr20:34540134-34543903
EGR1	NM_001964.2	chr5:137801180-137805004:+	chr5:137798482-137803768
C9orf43	NM_001278629.1	chr9:116172923-116191964:+	chr9:116170418-116174475
POLE3	NR_027261.1	chr9:116169514-116172955:-	chr9:116170418-116174475
NCBP1	NM_002486.4	chr9:100395704-100436030:+	chr9:100393341-100398426
TSTD2	NM_139246.4	chr9:100362361-100395962:-	chr9:100393341-100398426
DERL2	NR_130905.1	chr17:5374570-5389550:-	chr17:5388164-5391272
MIS12	NM_001258220.1	chr17:5389693-5394131:+	chr17:5388164-5391272
KAT5	NM_182709.2	chr11:65479472-65487077:+	chr11:65476702-65481607
ZNF2	NM_001291604.1	chr2:95831161-95850065:+	chr2:95830281-95832383
ARF4	NM_001660.3	chr3:57557089-57583215:-	chr3:57580333-57585823
ARF4-AS1	NR_132370.1	chr3:57583515-57586643:+	chr3:57580333-57585823
TM2D1	NR_135162.1	chr1:62146718-62191095:-	chr1:62189292-62192242
STAT6	NM_001178079.1	chr12:57489186-57504089:-	chr12:57503287-57506866
RALY	NM_007367.3	chr20:32581457-32670991:+	chr20:32579625-32584094
RALY-AS1	NR_109885.1	chr20:32580293-32582173:-	chr20:32579625-32584094
C14orf119	NM_017924.3	chr14:23564682-23569665:+	chr14:23562373-23566351
ACIN1	NM_014977.3	chr14:23527772-23564823:-	chr14:23562373-23566351
PRPF40A	NM_017892.3	chr2:153508106-153573975:-	chr2:153572513-153577496
ARL6IP6	NR_024526.2	chr2:153574406-153617767:+	chr2:153572513-153577496
SDR39U1	NM_020195.2	chr14:24908971-24912007:-	chr14:24910598-24913414
LOC101927045	NR_110032.1	chr14:24912158-24971403:+	chr14:24910598-24913414
MIR1289-1	NR_031620.1	chr20:34041775-34041919:-	chr20:34041320-34045745
GDF5	NM_001319138.1	chr20:34021144-34042568:-	chr20:34041320-34045745
CEP250	NM_007186.5	chr20:34043222-34099804:+	chr20:34041320-34045745
CTDSPL2	NM_016396.2	chr15:44719578-44819430:+	chr15:44717596-44722076
UFD1L	NM_005659.6	chr22:19437463-19466738:-	chr22:19464600-19469301
CDC45	NM_001178011.2	chr22:19467348-19508135:+	chr22:19464600-19469301
KIAA0141	NM_001142603.2	chr5:141303384-141321612:+	chr5:141301764-141304549
SUGT1	NM_006704.4	chr13:53226825-53262489:+	chr13:53224753-53228770
GTF2A1	NM_001278940.1	chr14:81641795-81687296:-	chr14:81684381-81689388
LOC101928504	NR_135252.1	chr14:81687561-81689724:+	chr14:81684381-81689388
SNORD82	NR_004398.1	chr2:232325078-232325153:-	chr2:232326794-232330957
NCL	NM_005381.2	chr2:232319458-232329205:-	chr2:232326794-232330957
TRMT112	NM_001286084.1	chr11:64083963-64085556:-	chr11:64083430-64087778
PRDX5	NM_181652.2	chr11:64085559-64089295:+	chr11:64083430-64087778
UFC1	NM_016406.3	chr1:161123533-161128646:+	chr1:161122365-161125889
ZNF121	NM_001308269.1	chr19:9676403-9695209:-	chr19:9693617-9696054
SPATA2	NM_001135773.1	chr20:48519927-48530276:-	chr20:48529175-48534922
LOC105372653	NR_134564.1	chr20:48532358-48545358:+	chr20:48529175-48534922
THADA	NM_001083953.1	chr2:43457974-43823113:-	chr2:43821912-43824452
CCNT2-AS1	NR_036549.1	chr2:135624202-135676176:-	chr2:135674330-135678219
CCNT2	NM_001241.3	chr2:135676391-135716915:+	chr2:135674330-135678219
CSNK2A1	NM_177559.2	chr20:463337-524482:-	chr20:522613-525398
DUS3L	NM_020175.2	chr19:5785150-5791249:-	chr19:5789847-5792298
SUPV3L1	NM_001323587.1	chr10:70939959-70968854:+	chr10:70937805-70941858
ZRANB2	NM_005455.4	chr1:71528973-71546972:-	chr1:71544501-71547838
ZRANB2-AS2	NR_046217.1	chr1:71547006-71703406:+	chr1:71544501-71547838
ANAPC15	NM_001278494.1	chr11:71820632-71823278:-	chr11:71821436-71826381
ARPC4	NM_001024960.2	chr3:9834178-9848789:+	chr3:9832469-9837751
ARPC4-TTLL3	NM_001198793.1	chr3:9834231-9878040:+	chr3:9832469-9837751
TADA3	NR_103488.1	chr3:9821647-9834695:-	chr3:9832469-9837751
KMT2E-AS1	NR_024586.1	chr7:104650988-104654588:-	chr7:104645227-104661983
KMT2E	NM_018682.3	chr7:104654636-104754532:+	chr7:104645227-104661983
CWC25	NR_073428.1	chr17:36956686-36981603:-	chr17:36979269-36983975
MIR4727	NR_039880.1	chr17:36982090-36982145:+	chr17:36979269-36983975
ZDHHC5	NM_015457.2	chr11:57435473-57468659:+	chr11:57433313-57438090
RPS8	NM_001012.1	chr1:45241245-45244412:+	chr1:45239878-45244104
SNORD55	NR_000015.2	chr1:45241536-45241610:+	chr1:45239878-45244104
SNORD46	NR_000024.2	chr1:45242163-45242261:+	chr1:45239878-45244104
SNORD38A	NR_001456.1	chr1:45243513-45243584:+	chr1:45239878-45244104
SNORD38B	NR_001457.1	chr1:45244061-45244130:+	chr1:45239878-45244104
PIH1D1	NM_017916.2	chr19:49949549-49955115:-	chr19:49953597-49958205
ALDH16A1	NM_001145396.1	chr19:49956472-49974305:+	chr19:49953597-49958205
HIGD2A	NM_138820.3	chr5:175815526-175816772:+	chr5:175813623-175817570
NOP16	NR_134316.1	chr5:175810939-175815928:-	chr5:175813623-175817570
MRPL11	NM_170739.3	chr11:66202545-66206319:-	chr11:66205245-66206889
FIZ1	NM_032836.2	chr19:56102736-56110893:-	chr19:56109466-56113591
ZNF524	NM_153219.3	chr19:56111705-56114504:+	chr19:56109466-56113591
CFL1	NM_005507.2	chr11:65622281-65625804:-	chr11:65623272-65630802
MUS81	NM_025128.4	chr11:65627871-65633914:+	chr11:65623272-65630802
NUP85	NM_001330472.1	chr17:73201530-73231854:+	chr17:73199969-73204345
YME1L1	NM_139312.2	chr10:27399039-27443349:-	chr10:27441388-27447418
MASTL	NR_135469.1	chr10:27443752-27476882:+	chr10:27441388-27447418
COPB2	NR_023350.1	chr3:139076432-139108522:-	chr3:139106672-139110535
LOC100507291	NR_121609.1	chr3:139108644-139302161:+	chr3:139106672-139110535
TIMM17A	NM_006335.2	chr1:201924618-201939789:+	chr1:201923002-201926391
HSPA4	NM_002154.3	chr5:132387661-132440709:+	chr5:132384032-132390237
UPF2	NM_015542.3	chr10:11962020-12084840:-	chr10:12082685-12087024
TARDBP	NM_007375.3	chr1:11072678-11085549:+	chr1:11071433-11075049
PMF1	NM_001199653.1	chr1:156182778-156209868:+	chr1:156181837-156186240
PMF1-BGLAP	NM_001199664.1	chr1:156182778-156213123:+	chr1:156181837-156186240
TPR	NM_003292.2	chr1:186280783-186344457:-	chr1:186342439-186346285
C1orf27	NM_001164246.1	chr1:186344889-186390503:+	chr1:186342439-186346285
LINC01465	NR_121682.1	chr12:62995530-62997214:-	chr12:62994406-63001606
MIRLET7I	NR_029661.1	chr12:62997465-62997549:+	chr12:62994406-63001606
DCTN1	NR_033935.1	chr2:74588280-74619214:-	chr2:74617934-74619896
LOC644656	NR_036539.1	chr11:9481102-9482245:-	chr11:9479822-9486045
ZNF143	NM_001282657.1	chr11:9482511-9550071:+	chr11:9479822-9486045
NANP	NM_152667.2	chr20:25593570-25604648:-	chr20:25602493-25606265
ZNF337-AS1	NR_126466.1	chr20:25604680-25655714:+	chr20:25602493-25606265
OLMALINC	NR_026762.1	chr10:102133332-102148111:+	chr10:102128200-102137871
MAP3K7	NM_145331.2	chr6:91223291-91297020:-	chr6:91295266-91297944
ZNF165	NM_003447.3	chr6:28048481-28057341:+	chr6:28046829-28050135
SND1	NM_014390.3	chr7:127292042-127732661:+	chr7:127290621-127294593
KLHL18	NM_025010.4	chr3:47324329-47388306:+	chr3:47322527-47326127
KIF9	NM_001134878.1	chr3:47269515-47324337:-	chr3:47322527-47326127
POP4	NR_027368.1	chr19:30097169-30108162:+	chr19:30096012-30098338
DSN1	NM_001145316.1	chr20:35380193-35402154:-	chr20:35400333-35403718
SMARCE1	NM_003079.4	chr17:38783971-38804103:-	chr17:38800920-38805644
TARS	NM_001258437.1	chr5:33440801-33468196:+	chr5:33438719-33444028
PSMC3	NM_002804.4	chr11:47440319-47448024:-	chr11:47445899-47449868
DARS-AS1	NR_110200.1	chr2:136742745-136762807:+	chr2:136740196-136744707
DARS	NM_001349.3	chr2:136663450-136743254:-	chr2:136740196-136744707
PRKAG1	NM_001206710.1	chr12:49396054-49412531:-	chr12:49411036-49414006
IQCG	NM_001323027.1	chr3:197615945-197676796:-	chr3:197675681-197681051
RPL35A	NM_000996.2	chr3:197677051-197682722:+	chr3:197675681-197681051
RPL21	NM_000982.3	chr13:27825691-27830705:+	chr13:27824285-27830098
SNORD102	NR_002574.1	chr13:27829200-27829272:+	chr13:27824285-27830098
SNORA27	NR_002575.1	chr13:27829537-27829663:+	chr13:27824285-27830098
DNAJB12	NM_001002762.2	chr10:74092587-74114907:-	chr10:74112617-74116115
LRPPRC	NM_133259.3	chr2:44113362-44223144:-	chr2:44221679-44224499
MED7	NM_001100816.1	chr5:156565450-156569786:-	chr5:156568606-156571370
MPV17	NM_002437.4	chr2:27532359-27545969:-	chr2:27541951-27547432
IDH3B	NM_006899.4	chr20:2639035-2644869:-	chr20:2644059-2646036
LOC102723385	NR_119382.1	chr16:19074075-19078805:-	chr16:19077312-19080772
COQ7	NM_016138.4	chr16:19078916-19091417:+	chr16:19077312-19080772
SNRNP35	NM_022717.3	chr12:123942650-123950941:+	chr12:123941746-123945264
LOC284454	NR_036515.1	chr19:13945329-13947103:-	chr19:13941787-13974107
MIR24-2	NR_029497.1	chr19:13947100-13947173:-	chr19:13941787-13974107
MIR27A	NR_029501.1	chr19:13947253-13947331:-	chr19:13941787-13974107
MIR23A	NR_029495.1	chr19:13947400-13947473:-	chr19:13941787-13974107
RBBP5	NM_005057.3	chr1:205055269-205091150:-	chr1:205089037-205092657
CLPTM1	NM_001282176.1	chr19:45457841-45496604:+	chr19:45456855-45460135
KDM6B	NM_001080424.1	chr17:7743234-7758118:+	chr17:7736787-7749140
LOC100133315	NR_029192.1	chr11:71576554-71639493:-	chr11:71638033-71641209
RNF121	NM_001300926.1	chr11:71639767-71708643:+	chr11:71638033-71641209
SFSWAP	NM_004592.3	chr12:132195631-132284283:+	chr12:132194463-132197387
SAP30BP	NM_001301839.1	chr17:73663195-73704142:+	chr17:73661584-73664843
RECQL5	NM_004259.6	chr17:73622924-73663269:-	chr17:73661584-73664843
EIF3B	NM_003751.3	chr7:2394473-2420380:+	chr7:2392604-2401795
PCBP1-AS1	NR_033872.1	chr2:70189394-70314147:-	chr2:70304647-70318903
PCBP1	NM_006196.3	chr2:70314584-70316335:+	chr2:70304647-70318903
METTL1	NM_005371.5	chr12:58162350-58165914:-	chr12:58164445-58167732
METTL21B	NM_015433.2	chr12:58166382-58176324:+	chr12:58164445-58167732
GPATCH2	NM_018040.3	chr1:217600333-217804444:-	chr1:217802281-217805722
SPATA17	NM_138796.3	chr1:217804665-218041493:+	chr1:217802281-217805722
USP37	NM_020935.2	chr2:219314973-219433084:-	chr2:219431572-219436472
CNOT9	NM_001271635.1	chr2:219433302-219458578:+	chr2:219431572-219436472
RPRD2	NM_001297673.1	chr1:150336586-150449042:+	chr1:150334652-150340633
PHF5A	NM_032758.3	chr22:41855720-41864708:-	chr22:41863352-41867381
ACO2	NM_001098.2	chr22:41865128-41924993:+	chr22:41863352-41867381
U2AF2	NM_001012478.1	chr19:56165415-56186082:+	chr19:56164349-56171719
MST1P2	NR_027504.1	chr1:16972068-16976915:+	chr1:16968614-16972866
VRK3	NM_001308420.1	chr19:50484961-50528643:-	chr19:50527147-50530195
ZNF473	NM_001308424.2	chr19:50529149-50552033:+	chr19:50527147-50530195
FAM227A	NM_001291030.1	chr22:38974124-39052634:-	chr22:39051441-39054389
CBY1	NM_015373.3	chr22:39052657-39069855:+	chr22:39051441-39054389
ANAPC7	NM_016238.2	chr12:110810704-110841535:-	chr12:110838400-110843150
NUDCD2	NM_001329991.1	chr5:162873533-162887160:-	chr5:162884074-162890782
HMMR	NM_001142557.1	chr5:162887516-162918951:+	chr5:162884074-162890782
RBM3	NM_006743.4	chrX:48432740-48439553:+	chrX:48431226-48435034
LOC101929767	NR_110868.1	chr17:41300382-41322420:-	chr17:41320371-41325705
NBR1	NM_031862.3	chr17:41322487-41363708:+	chr17:41320371-41325705
DPAGT1	NM_001382.3	chr11:118967212-118972785:-	chr11:118970890-118975394
RPS23	NM_001025.4	chr5:81569138-81574235:-	chr5:81571794-81575915
ATP6AP1L	NM_001017971.2	chr5:81575280-81614465:+	chr5:81571794-81575915
VPS72	NM_001271087.1	chr1:151148775-151162689:-	chr1:151160674-151174765
PIP5K1A	NM_001330689.1	chr1:151171019-151222007:+	chr1:151160674-151174765
SYNCRIP	NM_001159676.1	chr6:86317501-86351169:-	chr6:86349670-86356280
SEPT7P2	NR_024271.1	chr7:45763385-45808617:-	chr7:45806994-45810260
BMS1	NM_014753.3	chr10:43277953-43330385:+	chr10:43277078-43279458
LMNA	NM_005572.3	chr1:156084460-156107657:+	chr1:156081670-156105331
ZNF274	NM_016324.3	chr19:58694355-58724928:+	chr19:58693457-58696219
HNRNPUL1	NM_144732.4	chr19:41768380-41813688:+	chr19:41767309-41774468
ZNF133	NM_001283005.1	chr20:18268926-18297640:+	chr20:18267846-18270307
PSMD7	NM_002811.4	chr16:74330672-74340186:+	chr16:74329049-74333535
CCNT1	NM_001240.3	chr12:49082240-49110781:-	chr12:49107236-49112011
LOC105376114	NR_135839.1	chr9:86322749-86328411:+	chr9:86319295-86324517
UBQLN1	NM_013438.4	chr9:86274877-86323168:-	chr9:86319295-86324517
SPATA24	NM_194296.1	chr5:138732455-138739776:-	chr5:138738560-138741110
LINC00467	NR_026761.2	chr1:211556096-211605877:+	chr1:211554976-211557777
RPL41	NM_021104.1	chr12:56510373-56511616:+	chr12:56507228-56515037
ZC3H10	NM_032786.2	chr12:56512003-56516281:+	chr12:56507228-56515037
AHI1	NM_001134831.1	chr6:135605109-135818903:-	chr6:135816762-135821267
LINC00271	NR_026805.1	chr6:135818938-136011976:+	chr6:135816762-135821267
PSMD5	NM_005047.3	chr9:123578330-123605299:-	chr9:123603684-123606684
PSMD5-AS1	NR_024408.1	chr9:123605319-123616651:+	chr9:123603684-123606684
ZNF131	NM_001330708.1	chr5:43120944-43176426:+	chr5:43120027-43124438
CCDC59	NM_014167.4	chr12:82746082-82752199:-	chr12:82750742-82753551
METTL25	NR_144940.1	chr12:82752275-82873018:+	chr12:82750742-82753551
TUBA1B	NM_006082.2	chr12:49521564-49525304:-	chr12:49522849-49528054
ZNF335	NM_022095.3	chr20:44577291-44600833:-	chr20:44596972-44604897
YWHAG	NM_012479.3	chr7:75956107-75988342:-	chr7:75984792-75990491
FBRS	NM_001105079.2	chr16:30670839-30682131:+	chr16:30667974-30673096
RBM4B	NM_031492.3	chr11:66432464-66445392:-	chr11:66443703-66446763
FAF2	NM_014613.2	chr5:175875355-175937075:+	chr5:175873203-175877470
RBM7	NM_001286048.1	chr11:114271250-114281332:+	chr11:114267166-114273645
C11orf71	NM_019021.3	chr11:114262169-114271272:-	chr11:114267166-114273645
COQ10B	NM_001320818.1	chr2:198318146-198340033:+	chr2:198315893-198320461
ENSA	NM_207045.1	chr1:150594598-150601609:-	chr1:150599794-150604159
C6orf52	NM_001145020.1	chr6:10671650-10694839:-	chr6:10693270-10698240
PAK1IP1	NM_017906.2	chr6:10695187-10709972:+	chr6:10693270-10698240
EFCAB2	NM_032328.3	chr1:245133170-245251148:+	chr1:245131306-245138818
LOC101928068	NR_111907.1	chr1:245128505-245134171:-	chr1:245131306-245138818
C11orf65	NM_001330368.1	chr11:108179245-108338258:-	chr11:108336333-108339207
LDLR	NM_001195799.1	chr19:11200037-11244506:+	chr19:11193967-11210864
NDUFS5	NM_001184979.1	chr1:39491966-39500308:+	chr1:39490767-39493982
TATDN1	NM_001317890.1	chr8:125500734-125551329:-	chr8:125549477-125553423
NDUFB9	NM_001278645.1	chr8:125551342-125562227:+	chr8:125549477-125553423
